month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2025-04-01,A DIVISION,3,offpeak,2855608.3569335938,0.948692483877133,0.473854445404678,2709094.185119629,1353142.7142677307,340094.0147705078,0.119096869129388,0.880903130870612
2025-04-01,A DIVISION,3,peak,3128892.994140625,0.88033265094738,0.549073296417755,2754466.6640625,1717991.5904312134,333432.8462219238,0.106565755635086,0.893434244364914
2025-04-01,A DIVISION,4,offpeak,4501802.1298828125,0.89910409513581,0.502933421164959,4047588.73046875,2264106.7465896606,578590.1819458008,0.128524125506347,0.871475874493653
2025-04-01,A DIVISION,4,peak,4674460.83203125,0.971846795703268,0.419698953693721,4542859.78125,1961866.3202857971,521983.46087646484,0.111667094801528,0.888332905198472
2025-04-01,A DIVISION,5,offpeak,3170797.245239258,1.161625852808553,0.626170570503973,3683280.0540840626,1985459.920003891,458647.400124073,0.144647344074965,0.855352655925035
2025-04-01,A DIVISION,5,peak,3984531.91796875,1.296176089764998,0.400714598670448,5164655.0009765625,1596660.1083984375,486906.08514404297,0.122199067586403,0.877800932413597
2025-04-01,A DIVISION,6,offpeak,6154920.08203125,0.998045005332786,0.457492194969992,6142887.24609375,2815827.8981933594,630841.9049682617,0.102493923001527,0.897506076998473
2025-04-01,A DIVISION,6,peak,6561857.03125,1.050305815676941,0.51453201649995,6891956.6015625,3376285.5302734375,650422.6509399414,0.099121734570319,0.900878265429681
2025-04-01,A DIVISION,7,offpeak,5183481.8837890625,0.907973793294272,0.537821841406557,4706465.708496094,2787789.771636963,594034.2015380859,0.114601384717072,0.885398615282928
2025-04-01,A DIVISION,7,peak,5547934.5625,0.94779761710701,0.521280535680287,5258319.158203125,2892030.3006591797,468263.81298828125,0.084403268948665,0.915596731051335
2025-04-01,A DIVISION,S 42nd,offpeak,770344.1635742188,0.430771678022943,-0.135742824316254,331842.4479980469,-104568.69245910645,10227.591393113136,0.013276652017015,0.986723347982985
